name,pose_0,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,pose_7,pose_8,pose_9,pose_10,pose_11,identity_0,identity_1,identity_2,identity_3,identity_4,identity_5,identity_6,identity_7,identity_8,identity_9,identity_10,identity_11,identity_12,identity_13,identity_14,identity_15,identity_16,identity_17,identity_18,identity_19,identity_20,identity_21,identity_22,identity_23,identity_24,identity_25,identity_26,identity_27,identity_28,identity_29,identity_30,identity_31,identity_32,identity_33,identity_34,identity_35,identity_36,identity_37,identity_38,identity_39,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
12_0,0.001496906392276287,-7.358413859037682e-05,-8.788475724941236e-07,295.3527526855469,6.567777745658532e-05,0.001487826812081039,-0.00016179389785975218,232.16168212890625,2.9341622393985745e-06,7.013562571955845e-05,0.0005751888966187835,-77.14073944091797,-300991.03125,137373.46875,260579.84375,-238416.109375,201059.6875,-44403.25,-81936.7578125,47146.03125,-94899.59375,27069.228515625,-3834.48828125,-4864.052734375,16607.65625,20864.908203125,-14971.7353515625,-3499.5869140625,-16272.74609375,3794.52392578125,-20239.32421875,5542.21240234375,-8938.595703125,-6373.02880859375,-24171.0859375,-23603.609375,-13917.38671875,-2672.883544921875,-256.2666015625,-1307.9993896484375,-6440.76611328125,-5488.2314453125,-3547.88720703125,-442.9315185546875,4377.2255859375,-2376.6494140625,-10438.845703125,-5998.55810546875,3366.46337890625,-833.59033203125,2096.71240234375,7928.357421875,-1.5683331489562988,-1.2913254499435425,0.7289435267448425,-0.6259865164756775,-0.023059869185090065,-0.2897423207759857,-0.2937321066856384,0.18204237520694733,0.055583540350198746,0.2470141351222992
13_0,0.0014923661947250366,-6.617057078983635e-05,1.5985108348104404e-06,295.4999084472656,5.804256579722278e-05,0.0014821069780737162,-0.00016012457490433007,231.69125366210938,3.03368506138213e-06,6.800395203754306e-05,0.0005747088580392301,-77.03337860107422,-296371.0625,112311.3671875,253556.453125,-229445.71875,191743.4375,-31001.2109375,-82700.734375,41803.5078125,-100080.8671875,19917.830078125,-2201.181640625,-4588.263671875,15312.8857421875,17666.119140625,-11472.2529296875,-4403.2451171875,-15583.53125,3165.7353515625,-18317.458984375,1129.71630859375,-6984.1806640625,-6805.7578125,-23545.55078125,-22821.494140625,-13871.6142578125,-2833.07958984375,-1576.712890625,-904.5113525390625,-7162.623046875,-5645.76171875,-3918.330078125,973.3001708984375,3876.037109375,284.7921142578125,-10785.0888671875,-6478.90966796875,3046.07080078125,-174.91455078125,2825.93310546875,6978.5908203125,-1.6219621896743774,-1.1618623733520508,0.7121952772140503,-0.5809206366539001,-0.02245304547250271,-0.30138134956359863,-0.2637898027896881,0.16845391690731049,0.049699023365974426,0.21019449830055237
14_0,0.0014890773454681039,-6.990731344558299e-05,-3.906977326550987e-06,295.32305908203125,6.249714351724833e-05,0.0014727478846907616,-0.00017763589858077466,234.1269989013672,4.255389740137616e-06,7.54129359847866e-05,0.0005689664976671338,-77.02214050292969,-228117.9375,135667.75,218754.828125,-246792.375,160252.21875,-33538.5859375,-70449.296875,31252.033203125,-109946.171875,10046.677734375,-1647.490234375,4199.712890625,10276.8525390625,18484.107421875,-11626.044921875,-3915.6533203125,-10977.42578125,1323.3856201171875,-16362.34765625,-3794.099609375,-6709.5009765625,-8819.2265625,-22674.740234375,-20327.177734375,-11753.427734375,-4241.08642578125,-1760.2783203125,-1387.9075927734375,-7711.9091796875,-5260.43359375,-4854.17431640625,1455.4593505859375,2979.287109375,1535.5291748046875,-10806.697265625,-6228.3193359375,2243.95849609375,163.560546875,3169.693359375,6272.85009765625,-1.5577068328857422,-0.9581444263458252,0.676462709903717,-0.5704455971717834,-0.017671430483460426,-0.2681490182876587,-0.2374204695224762,0.13309673964977264,0.04769346863031387,0.16782891750335693
15_0,0.001498333876952529,-7.120108784874901e-05,-4.662306309910491e-06,294.8730163574219,5.991433863528073e-05,0.0014785161474719644,-0.0001908571575768292,236.65797424316406,2.9862840165151283e-06,7.989139703568071e-05,0.000568067654967308,-76.9210205078125,-214076.265625,115527.171875,197230.0625,-223408.515625,137207.125,-40755.44140625,-57741.98828125,23188.4375,-98687.0078125,5723.8388671875,5040.869140625,3579.755859375,9302.2412109375,21988.951171875,-10770.1298828125,-2656.7177734375,-10681.845703125,1021.200439453125,-16256.62890625,-4341.1005859375,-7570.5126953125,-11617.1806640625,-19997.400390625,-20285.685546875,-10590.3466796875,-4251.345703125,-1934.7470703125,-943.2994384765625,-7971.42138671875,-4286.259765625,-4933.40673828125,2230.4775390625,2339.067138671875,2686.89013671875,-9500.484375,-6694.619140625,2614.62646484375,625.150390625,3044.798828125,5564.865234375,-1.261975646018982,-0.6528658866882324,0.6384208798408508,-0.5163244009017944,-0.025676442310214043,-0.23985964059829712,-0.2148849368095398,0.13216565549373627,0.04576611518859863,0.13348087668418884
16_0,0.0014926119474694133,-8.030932804103941e-05,-9.060967386176344e-06,294.9802551269531,6.44735264359042e-05,0.0014718257589265704,-0.00019091169815510511,236.57473754882812,4.880912456428632e-06,7.675020606257021e-05,0.0005645387573167682,-76.68020629882812,-187335.875,41407.84375,187999.21875,-175333.390625,121104.515625,-37771.8515625,-47278.4765625,12265.193359375,-100273.65625,-3154.62060546875,4454.197265625,1235.095703125,14827.0986328125,22271.515625,-10540.7412109375,-307.3857421875,-6363.97021484375,637.05126953125,-14775.40234375,-7425.39453125,-6347.62109375,-14148.3515625,-14999.5078125,-22506.626953125,-5301.62939453125,-6585.001953125,-3571.388671875,647.64453125,-8290.974609375,-1964.597900390625,-5249.357421875,3495.08154296875,100.6868896484375,5523.93310546875,-8561.21484375,-7873.4033203125,2427.495361328125,2391.501220703125,3009.21630859375,4113.34521484375,-1.162039875984192,-0.1277494728565216,0.5369548201560974,-0.3832933306694031,-0.022041769698262215,-0.26112955808639526,-0.2071579098701477,0.07599121332168579,0.03126952052116394,0.0489424392580986
17_0,0.0014828674029558897,-9.969892562367022e-05,-1.4640484550909605e-05,295.8888244628906,7.732411904726177e-05,0.0014579201815649867,-0.00019051537674386054,236.9337921142578,7.81218295742292e-06,7.367008947767317e-05,0.0005610446096397936,-76.5519027709961,-185935.03125,-10496.06640625,162867.4375,-126413.15625,108784.25,-39087.15625,-36667.8828125,-737.63818359375,-99567.75,-7753.14990234375,9243.275390625,5166.091796875,22858.43359375,21708.607421875,-15248.5322265625,5937.89990234375,-1908.967529296875,2285.042236328125,-13487.0595703125,-3755.93359375,-4486.0078125,-16651.86328125,-11374.3828125,-26847.60546875,1851.7261962890625,-9924.7890625,-3652.4560546875,1752.478271484375,-8580.86328125,405.45172119140625,-5433.646484375,3100.4189453125,-1431.4957275390625,4749.1708984375,-7933.18115234375,-8092.35595703125,2580.5234375,4057.088623046875,1321.7464599609375,3793.099365234375,-1.1777374744415283,0.3199264407157898,0.41402512788772583,-0.22200261056423187,-0.007917007431387901,-0.26148149371147156,-0.22502335906028748,0.004871293902397156,0.019048001617193222,-0.00030056387186050415
18_0,0.001476073870435357,-9.841060818871483e-05,-1.2867970326624345e-05,296.520263671875,7.383574120467529e-05,0.0014530968619510531,-0.0001908837293740362,237.70693969726562,7.737398846074939e-06,7.497300975956023e-05,0.000564098299946636,-76.27816772460938,-210936.78125,-70060.4140625,162448.84375,-93277.515625,104860.71875,-41432.98046875,-28979.59375,-9586.8076171875,-101299.796875,-13791.619140625,6581.826171875,6044.443359375,26383.74609375,25352.677734375,-11486.44140625,5180.5830078125,1636.32470703125,336.413818359375,-12565.798828125,-8050.69921875,-4440.87744140625,-19323.65234375,-7022.55078125,-29676.93359375,5760.49658203125,-11931.978515625,-4873.45703125,4246.1220703125,-7378.1923828125,2658.548828125,-5425.689453125,4846.16162109375,-2817.55078125,7022.31689453125,-7403.34619140625,-8811.650390625,2905.98974609375,5014.8349609375,2109.8466796875,2523.924560546875,-1.1595171689987183,0.7976088523864746,0.24363534152507782,-0.12802016735076904,-0.009942671284079552,-0.2750581204891205,-0.23538577556610107,-0.05167531222105026,0.010458925738930702,-0.06457853317260742
19_0,0.0014661008026450872,-9.714893531054258e-05,-1.6388099538744427e-05,296.2929992675781,7.607127190567553e-05,0.001442795037291944,-0.00021890141943003982,241.5105438232422,9.865418178378604e-06,8.77170532476157e-05,0.0005626312340609729,-76.23210906982422,-197930.390625,-42096.2578125,154206.125,-102758.7265625,93506.546875,-50285.84765625,-20260.54296875,-15676.5859375,-109521.140625,-15368.96875,1131.888671875,12981.91796875,25171.06640625,30309.623046875,-12347.392578125,5075.15576171875,8902.16796875,-1309.874755859375,-12975.7900390625,-11207.3291015625,-6442.5234375,-21506.03515625,-4200.962890625,-29637.603515625,10969.8642578125,-13609.208984375,-4267.6376953125,5483.083984375,-6283.904296875,4399.87890625,-5575.412109375,4547.05517578125,-4127.1279296875,7185.6884765625,-7248.06982421875,-8448.953125,2238.629638671875,5197.81005859375,2149.1533203125,2041.672119140625,-1.0921318531036377,0.9152032732963562,0.19251178205013275,-0.10215830057859421,0.004350198432803154,-0.2664686441421509,-0.27536696195602417,-0.09583272784948349,0.008655104786157608,-0.08974306285381317
20_0,0.001478819758631289,-0.0001033391454257071,-1.0974100632665795e-06,295.4356994628906,8.147893095156178e-05,0.001452855416573584,-0.000248319236561656,245.46612548828125,7.115305379556958e-06,9.914654947351664e-05,0.0005598940188065171,-76.12237548828125,-299075.9375,-61200.078125,150559.234375,-68190.546875,80231.265625,-57371.34375,-19717.703125,-25348.59375,-100713.625,-14772.546875,15647.728515625,12070.7421875,23350.0859375,35817.2421875,-19274.1015625,10950.7314453125,10183.9296875,1112.90869140625,-15760.1865234375,-8029.4755859375,-6886.42138671875,-24487.712890625,-1832.46533203125,-32181.623046875,15289.416015625,-13928.6875,-3445.88818359375,5552.53759765625,-7452.8349609375,6266.0673828125,-5529.916015625,3756.580078125,-4411.3369140625,7237.1416015625,-6307.3642578125,-7872.35595703125,2900.20849609375,6310.63818359375,1800.7100830078125,1383.730224609375,-0.9088413119316101,1.1208397150039673,0.21415720880031586,-0.01999262161552906,-0.009296813979744911,-0.24247941374778748,-0.3184961676597595,-0.10472853481769562,0.009012406691908836,-0.1017509400844574
21_0,0.0014695069985464215,-9.409435733687133e-05,-1.287719169340562e-05,296.2179260253906,6.631212454522029e-05,0.0014391877921298146,-0.00024911388754844666,245.5642547607422,1.0842803931154776e-05,9.986660734284669e-05,0.0005603670724667609,-76.05067443847656,-249844.9375,-67767.8515625,127788.5,-69406.328125,67271.8125,-57624.703125,-6269.13525390625,-31347.98046875,-103803.4296875,-18505.419921875,7987.169921875,13369.57421875,19347.6171875,33596.1328125,-13378.759765625,7045.005859375,10641.21484375,-919.179931640625,-12271.6640625,-14636.3740234375,-5134.74609375,-25829.99609375,-175.27001953125,-30485.27734375,15011.5126953125,-12960.0986328125,-5104.56103515625,6375.12646484375,-6929.13671875,6622.3095703125,-5661.82275390625,5464.68994140625,-5406.9755859375,9324.62890625,-6592.1630859375,-8483.46875,2470.80078125,6490.64794921875,2551.01953125,388.02490234375,-0.9573654532432556,1.21419358253479,0.17679767310619354,0.026910126209259033,0.0032590124756097794,-0.235408216714859,-0.27400317788124084,-0.14387409389019012,0.002712435554713011,-0.1373140513896942
22_0,0.0014680024469271302,-0.00010275605018250644,-9.602755199011881e-06,295.679931640625,7.579185330541804e-05,0.0014380109496414661,-0.0002328403788851574,245.28826904296875,7.77509922045283e-06,9.317303192801774e-05,0.0005576922558248043,-76.0225830078125,-223858.34375,-79712.1328125,143329.71875,-63509.09375,78658.6171875,-62582.49609375,-1855.220458984375,-28305.00390625,-102508.515625,-19975.283203125,-175.529296875,10678.427734375,22911.7578125,36045.28125,-8858.8017578125,4834.533203125,12896.857421875,-924.921630859375,-10653.279296875,-15883.2939453125,-6046.1025390625,-25605.0546875,1221.03271484375,-28998.041015625,16161.228515625,-13236.7841796875,-5407.494140625,7286.77978515625,-6388.9384765625,7440.857421875,-5492.76220703125,5827.576171875,-6017.56884765625,10114.845703125,-6238.044921875,-8963.5009765625,2224.33251953125,6270.6279296875,2853.6220703125,210.89599609375,-0.8846274018287659,1.2560936212539673,0.14280252158641815,0.00033812224864959717,-0.004438659176230431,-0.2469480335712433,-0.28168606758117676,-0.1442112773656845,0.002438753377646208,-0.1464824378490448
